repo_name,description,owner,topic,urls,user_api,repo_api,location
Autonomous-Driving,Contains self driving stuff,developer-student-club-thapar,[],https://github.com/developer-student-club-thapar/Autonomous-Driving,https://api.github.com/users/developer-student-club-thapar,https://api.github.com/repos/developer-student-club-thapar/Autonomous-Driving,"Patiala, Punjab, India"
self-driving-vehicle-101,This repository contains the source code for the self driving car tutorial https://www.bilibili.com/video/av81355069,czhherry,[],https://github.com/czhherry/self-driving-vehicle-101,https://api.github.com/users/czhherry,https://api.github.com/repos/czhherry/self-driving-vehicle-101,China
self-driving-car-javascript,Run a self-driving car using JavaScript and TensorFlow.js,bakoushin,"['cnn', 'hacktoberfest', 'hacktoberfest2020', 'self-driving-car', 'steering', 'tensorflow']",https://github.com/bakoushin/self-driving-car-javascript,https://api.github.com/users/bakoushin,https://api.github.com/repos/bakoushin/self-driving-car-javascript,"Moscow, Russia"
evolutionary-reinforcement-neural-network-autonomous-car,A self driving vehicle based on evolutionary algorithm and reinforcement learning,xgnit,[],https://github.com/xgnit/evolutionary-reinforcement-neural-network-autonomous-car,https://api.github.com/users/xgnit,https://api.github.com/repos/xgnit/evolutionary-reinforcement-neural-network-autonomous-car,49
MPC-for-Self-driving-Vehicles,This repo holds the Simulink/CarSim codes for examples of Self-driving Vehicles and Model Predictive Contorl (2ed edition).,leoking99-BIT,[],https://github.com/leoking99-BIT/MPC-for-Self-driving-Vehicles,https://api.github.com/users/leoking99-BIT,https://api.github.com/repos/leoking99-BIT/MPC-for-Self-driving-Vehicles,"Beijing, China"
Hands-On-Vision-and-Behavior-for-Self-Driving-Cars,"Hands-On Vision and Behavior for Self-Driving Cars, published by Packt",PacktPublishing,[],https://github.com/PacktPublishing/Hands-On-Vision-and-Behavior-for-Self-Driving-Cars,https://api.github.com/users/PacktPublishing,https://api.github.com/repos/PacktPublishing/Hands-On-Vision-and-Behavior-for-Self-Driving-Cars,"Birmingham, UK"
reinforcement-learning-based-driving-decision-in-Carla,reinforcement learning based agents for self-driving in CARLA,YoungYoung619,"['carla', 'reinforcement-learning', 'self-driving']",https://github.com/YoungYoung619/reinforcement-learning-based-driving-decision-in-Carla,https://api.github.com/users/YoungYoung619,https://api.github.com/repos/YoungYoung619/reinforcement-learning-based-driving-decision-in-Carla,ShenZhen，GuangDong，China
self-driving-car-specialization,Self -driving cars specialization by the university of toronto at coursera,deepanshut041,"['carla-simulator', 'coursera', 'coursera-assignment-solution', 'coursera-specialization', 'python', 'self-driving-car']",https://github.com/deepanshut041/self-driving-car-specialization,https://api.github.com/users/deepanshut041,https://api.github.com/repos/deepanshut041/self-driving-car-specialization,India
Awesome-Self-Driving-Vehicle-Paper,"This repo is the paper list of drone, self driving car and other self driving vehicle research",zivzone,[],https://github.com/zivzone/Awesome-Self-Driving-Vehicle-Paper,https://api.github.com/users/zivzone,https://api.github.com/repos/zivzone/Awesome-Self-Driving-Vehicle-Paper,Taiwan
Traffic-Sign-Recognition,To ease the driver to identify the Traffic Signs and also for the efficient working of Self-Driving Cars.,rahulsonone1234,"['caption-generation', 'cnn', 'cnn-keras', 'convolutional-neural-networks', 'deep-neural-networks', 'numpy', 'pandas', 'python', 'self-driving-cars', 'tensor', 'tensorflow', 'tkinter', 'tkinter-graphic-interface', 'tkinter-gui', 'tkinter-python', 'traffic-sign-classification', 'traffic-sign-recognition']",https://github.com/rahulsonone1234/Traffic-Sign-Recognition,https://api.github.com/users/rahulsonone1234,https://api.github.com/repos/rahulsonone1234/Traffic-Sign-Recognition,sangli
AI-Driver-CNN-DeepLearning-PyTorch,"AI-driving Vehicle Simulation using Machine Learning(CNN) | PyTorch implementation of ""End to End Learning for Self-Driving Cars"" (arXiv:1604.07316)",milsun,[],https://github.com/milsun/AI-Driver-CNN-DeepLearning-PyTorch,https://api.github.com/users/milsun,https://api.github.com/repos/milsun/AI-Driver-CNN-DeepLearning-PyTorch,"New Delhi, India"
Jetson-Nano-Self-Driving-Car,This is a project which uses deep Convolutional Neural Networks to steer a self driving car powered by Jetson Nano and Arduino UNO,kkishore9891,[],https://github.com/kkishore9891/Jetson-Nano-Self-Driving-Car,https://api.github.com/users/kkishore9891,https://api.github.com/repos/kkishore9891/Jetson-Nano-Self-Driving-Car,Chennai
Udacity_Self_Driving_Car_Nanodegree,My work from the Self-Driving Car Nanodegree Program,rayryeng,"['behavioral-cloning', 'c-plus-plus', 'extended-kalman-filter', 'image-classification', 'kalman-filter', 'lane-detection', 'particles', 'path-planning', 'pid-control', 'python', 'self-driving-car']",https://github.com/rayryeng/Udacity_Self_Driving_Car_Nanodegree,https://api.github.com/users/rayryeng,https://api.github.com/repos/rayryeng/Udacity_Self_Driving_Car_Nanodegree,"Toronto, Canada"
CarND-Project-09-PID-Control,Udacity Self-Driving Car Engineer Nanodegree: Project 9 - PID Control,ChenBohan,[],https://github.com/ChenBohan/CarND-Project-09-PID-Control,https://api.github.com/users/ChenBohan,https://api.github.com/repos/ChenBohan/CarND-Project-09-PID-Control,Shanghai，Shenzhen
Duckietown-AI-Driving-Olympics,Self-Driving Car - Duckietown Competition 🚗,Famosi,"['ai-driving-olympics', 'duckietown', 'imitation-learning', 'machine-learning', 'reinforcement-learning', 'robotics', 'self-driving-car']",https://github.com/Famosi/Duckietown-AI-Driving-Olympics,https://api.github.com/users/Famosi,https://api.github.com/repos/Famosi/Duckietown-AI-Driving-Olympics,"Rome, Italy"
CarND-14-Motion-Model,Udacity Self-Driving Car Engineer Nanodegree: Motion Model.,ChenBohan,[],https://github.com/ChenBohan/CarND-14-Motion-Model,https://api.github.com/users/ChenBohan,https://api.github.com/repos/ChenBohan/CarND-14-Motion-Model,Shanghai，Shenzhen
Self-Driving-Car,"Capstone project for programming Udacity's self driving car, Carla",kspatel95,[],https://github.com/kspatel95/Self-Driving-Car,https://api.github.com/users/kspatel95,https://api.github.com/repos/kspatel95/Self-Driving-Car,San Francisco
Udacity-Real-Self-Driving-Car-Carla,The final project of the Udacity Self-Driving Car Nanodegree: Programming a Real Self-Driving Car.,48cfu,[],https://github.com/48cfu/Udacity-Real-Self-Driving-Car-Carla,https://api.github.com/users/48cfu,https://api.github.com/repos/48cfu/Udacity-Real-Self-Driving-Car-Carla,Munich
Intro-to-Self-Driving-Cars-ND,Udacity's Intro to Self-Driving Cars Nanodegree Projects,hossamkhalil01,"['classification', 'histogram-filter', 'route-planner', 'udacity']",https://github.com/hossamkhalil01/Intro-to-Self-Driving-Cars-ND,https://api.github.com/users/hossamkhalil01,https://api.github.com/repos/hossamkhalil01/Intro-to-Self-Driving-Cars-ND,"Cairo, Egypt"
Self-Driving-Autonomous-Car-using-Open-CV-and-Python-Neural-Network-Overtaking-Raspberry-Pi,"CodeBase for my main project Self Driving Autonomous Car using Open-CV and Python | Neural Network | Overtaking | Raspberry Pi. Inspired by  Wang Zheng, Most of the code i edited from him, Thanks  Wang Zheng for our base code.",RobinRajSB,[],https://github.com/RobinRajSB/Self-Driving-Autonomous-Car-using-Open-CV-and-Python-Neural-Network-Overtaking-Raspberry-Pi,https://api.github.com/users/RobinRajSB,https://api.github.com/repos/RobinRajSB/Self-Driving-Autonomous-Car-using-Open-CV-and-Python-Neural-Network-Overtaking-Raspberry-Pi,India
CarND--Notes,Notes and challenges of my Self-Driving Car Engineer Nanodegree.,jmtc7,[],https://github.com/jmtc7/CarND--Notes,https://api.github.com/users/jmtc7,https://api.github.com/repos/jmtc7/CarND--Notes,"Toulouse, France"
ada,Self-driving laboratory for accelerated discovery of thin-film materials - data repository,berlinguette,[],https://github.com/berlinguette/ada,https://api.github.com/users/berlinguette,https://api.github.com/repos/berlinguette/ada,"UBC, Vancouver, Canada"
Motion-Planning-in-CARLA,My final project solution from Coursera's Motion Planning for Self-Driving Cars.,stewy33,[],https://github.com/stewy33/Motion-Planning-in-CARLA,https://api.github.com/users/stewy33,https://api.github.com/repos/stewy33/Motion-Planning-in-CARLA,"Baltimore, Maryland"
self-driving-car-engineer-nd,"Self-Driving Car Engineer Nanodegree, Udacity",SandeepAswathnarayana,"['autonomous-vehicles', 'c-plus-plus', 'carla-simulator', 'computer-vision', 'control', 'deep-neural-networks', 'localization', 'mapping', 'mercedes-benz', 'path-planning', 'perception', 'python', 'self-driving-car', 'sensor-fusion', 'uber', 'udacity-nanodegree']",https://github.com/SandeepAswathnarayana/self-driving-car-engineer-nd,https://api.github.com/users/SandeepAswathnarayana,https://api.github.com/repos/SandeepAswathnarayana/self-driving-car-engineer-nd,"Dallas, TX"
CarND-Capstone,"Udacity's Self-Driving Car Engineer Nanodegree: System Integration, the Capstone-Project",sratgh,[],https://github.com/sratgh/CarND-Capstone,https://api.github.com/users/sratgh,https://api.github.com/repos/sratgh/CarND-Capstone,"Munich, DE"
CarND-Capstone,Systems integration final project to run a real self-driving car done in a team work,chbloca,[],https://github.com/chbloca/CarND-Capstone,https://api.github.com/users/chbloca,https://api.github.com/repos/chbloca/CarND-Capstone,Spain
self-driving-system-integration,Capstone Project for Udacity Self-Driving Car Nanodegree,gyadam,[],https://github.com/gyadam/self-driving-system-integration,https://api.github.com/users/gyadam,https://api.github.com/repos/gyadam/self-driving-system-integration,"Boulder, CO"
sdcnd-capstone,Capstone project of Udacity Self-Driving Car Nanodegree,frgfm,"['controller', 'object-detection', 'path-planning', 'self-driving-car', 'sensor-fusion']",https://github.com/frgfm/sdcnd-capstone,https://api.github.com/users/frgfm,https://api.github.com/repos/frgfm/sdcnd-capstone,Paris
TorchDrive,Behavioural Cloning for Self Driving,OrcunCanDeniz,"['pytorch', 'self-driving-car']",https://github.com/OrcunCanDeniz/TorchDrive,https://api.github.com/users/OrcunCanDeniz,https://api.github.com/repos/OrcunCanDeniz/TorchDrive,"Istanbul, Turkey"
steering-wheel-prediction,Steering wheel angle prediction for self-driving cars,kiranukamath,[],https://github.com/kiranukamath/steering-wheel-prediction,https://api.github.com/users/kiranukamath,https://api.github.com/repos/kiranukamath/steering-wheel-prediction,India
Finding-Lane-Lines-on-the-Road,Finding Lane Lines on the Road (project 1 of 9 from Udacity Self-Driving Car Engineer Nanodegree),trajkd,"['canny', 'canny-edge-detection', 'color-selection', 'hough-lines', 'hough-transform', 'lane-boundaries', 'lane-detection', 'lane-lines', 'lane-lines-detection', 'lane-tracking', 'mask-image', 'opencv', 'parameter-tuning', 'python', 'region-of-interest']",https://github.com/trajkd/Finding-Lane-Lines-on-the-Road,https://api.github.com/users/trajkd,https://api.github.com/repos/trajkd/Finding-Lane-Lines-on-the-Road,"Geneva, Switzerland"
Trajectory_Predictor,"A python implementation of multi-model estimation algorithm for trajectory tracking and prediction, research project from BMW ABSOLUT self-driving bus project.",chrisHuxi,"['kalman-filter', 'motion-model-based', 'multi-model-estimation-algorithm', 'python', 'self-driving-car', 'trajectory-prediction', 'vehicle-tracking']",https://github.com/chrisHuxi/Trajectory_Predictor,https://api.github.com/users/chrisHuxi,https://api.github.com/repos/chrisHuxi/Trajectory_Predictor,China 
fastslam,Implementation of FastSLAM algorithm for self-driving car,ibvandersluis,[],https://github.com/ibvandersluis/fastslam,https://api.github.com/users/ibvandersluis,https://api.github.com/repos/ibvandersluis/fastslam,"Oxford, UK"
Self-Driving-Car-on-GTAV,Self Driving Car on Grand Theft Auto 5 using Machine Learning and Deep Learning,chauhanmahavir,"['computer-vision', 'dataset', 'deep-learning', 'gtav', 'machine-learning', 'self-driving-car']",https://github.com/chauhanmahavir/Self-Driving-Car-on-GTAV,https://api.github.com/users/chauhanmahavir,https://api.github.com/repos/chauhanmahavir/Self-Driving-Car-on-GTAV,India
Self-Driving-Car-09-Programing-A-Real-Car,The safe navigation for a self-driving car around a course using the Robot Operative System (ROS) framework,maudzung,"['capstone-project', 'ros', 'self-driving-car']",https://github.com/maudzung/Self-Driving-Car-09-Programing-A-Real-Car,https://api.github.com/users/maudzung,https://api.github.com/repos/maudzung/Self-Driving-Car-09-Programing-A-Real-Car,"Hanoi, Vietnam"
Traffic-Sign-Classifier-using-CNN-for-Self-Driving-Vehicles,Classify Different Traffic signs using Convolution Neural Networks for Self Driving Vehicles,Imran109,[],https://github.com/Imran109/Traffic-Sign-Classifier-using-CNN-for-Self-Driving-Vehicles,https://api.github.com/users/Imran109,https://api.github.com/repos/Imran109/Traffic-Sign-Classifier-using-CNN-for-Self-Driving-Vehicles,Pune
Self-Driving-Car-Using-Keras,Let's make a Self Driving Car using Udacity Simulator and Keras.,TarunTomar122,[],https://github.com/TarunTomar122/Self-Driving-Car-Using-Keras,https://api.github.com/users/TarunTomar122,https://api.github.com/repos/TarunTomar122/Self-Driving-Car-Using-Keras,Jodhpur
mower,Self driving mower,JulianSobott,[],https://github.com/JulianSobott/mower,https://api.github.com/users/JulianSobott,https://api.github.com/repos/JulianSobott/mower,Germany
OpenSDT,Open Self Driving Truck,bytemaster-0xff,[],https://github.com/bytemaster-0xff/OpenSDT,https://api.github.com/users/bytemaster-0xff,https://api.github.com/repos/bytemaster-0xff/OpenSDT,Tampa FL
IOT-Arduino-Self-Driving-Car,Arduino Self-Driving Car,pusupalahemanthkumar,[],https://github.com/pusupalahemanthkumar/IOT-Arduino-Self-Driving-Car,https://api.github.com/users/pusupalahemanthkumar,https://api.github.com/repos/pusupalahemanthkumar/IOT-Arduino-Self-Driving-Car,Hyderabad
udacity_zhang,udacity self driving car,zhangchunyu999,[],https://github.com/zhangchunyu999/udacity_zhang,https://api.github.com/users/zhangchunyu999,https://api.github.com/repos/zhangchunyu999/udacity_zhang,Tokyo Japan
SDND-Projects,Self-driving car nanodegree,manas-mukherjee,[],https://github.com/manas-mukherjee/SDND-Projects,https://api.github.com/users/manas-mukherjee,https://api.github.com/repos/manas-mukherjee/SDND-Projects,"Mountain View, California"
KHARPOOL,KHARPOOL Self_Driving,jinseokOK,[],https://github.com/jinseokOK/KHARPOOL,https://api.github.com/users/jinseokOK,https://api.github.com/repos/jinseokOK/KHARPOOL,Seoul
Self-Driving-Car,Self Driving Car,mayank171986,[],https://github.com/mayank171986/Self-Driving-Car,https://api.github.com/users/mayank171986,https://api.github.com/repos/mayank171986/Self-Driving-Car,"Delhi, India"
project_s,Self Driving Simulation,killerfizh,[],https://github.com/killerfizh/project_s,https://api.github.com/users/killerfizh,https://api.github.com/repos/killerfizh/project_s,Bangalore
Game-AI-using-Deep-Learning,SELF DRIVING CAR,CKVB,[],https://github.com/CKVB/Game-AI-using-Deep-Learning,https://api.github.com/users/CKVB,https://api.github.com/repos/CKVB/Game-AI-using-Deep-Learning,Bangalore
self-driving-car,Self Driving Car Project,shoaib-intro,[],https://github.com/shoaib-intro/self-driving-car,https://api.github.com/users/shoaib-intro,https://api.github.com/repos/shoaib-intro/self-driving-car,"Budapest, Hungary"
P2S10,Self Driving Car- TD3,avadhutc,[],https://github.com/avadhutc/P2S10,https://api.github.com/users/avadhutc,https://api.github.com/repos/avadhutc/P2S10,Bangalore
track,Self-driving car,amansharma44007,[],https://github.com/amansharma44007/track,https://api.github.com/users/amansharma44007,https://api.github.com/repos/amansharma44007/track,mumbai
fc_go,self driving drone,weixingsun,[],https://github.com/weixingsun/fc_go,https://api.github.com/users/weixingsun,https://api.github.com/repos/weixingsun/fc_go,Bloomsway
MiniR-Autonomous-Vehicle,Self Driving Traxxas Slash,andreamcantu,[],https://github.com/andreamcantu/MiniR-Autonomous-Vehicle,https://api.github.com/users/andreamcantu,https://api.github.com/repos/andreamcantu/MiniR-Autonomous-Vehicle,"Edinburg, TX"
CarNd,Self Driving Car Nanodegree,gautam-sharma1,[],https://github.com/gautam-sharma1/CarNd,https://api.github.com/users/gautam-sharma1,https://api.github.com/repos/gautam-sharma1/CarNd,"Phoenix, Arizona"
AI,self driving car,RahulP5,[],https://github.com/RahulP5/AI,https://api.github.com/users/RahulP5,https://api.github.com/repos/RahulP5/AI,Nashik
Self-driving-car,Self-driving car ,dannofield,[],https://github.com/dannofield/Self-driving-car,https://api.github.com/users/dannofield,https://api.github.com/repos/dannofield/Self-driving-car,"USA, Florida"
autovehicle,Self Driving Vehicle,JasKay,[],https://github.com/JasKay/autovehicle,https://api.github.com/users/JasKay,https://api.github.com/repos/JasKay/autovehicle,"Maryland, USA"
