repo_name,description,owner,topic,urls,user_api,repo_api,location
vosk-asterisk,Speech Recognition in Asterisk with Vosk Server,alphacep,"['asr', 'asterisk', 'speech-recognition', 'speech-to-text', 'vosk']",https://github.com/alphacep/vosk-asterisk,https://api.github.com/users/alphacep,https://api.github.com/repos/alphacep/vosk-asterisk,α Cep
edgedict,Working online speech recognition based on RNN Transducer. ( Trained model release available in release ),theblackcat102,"['asr', 'online-speech-recognition', 'openvino', 'rnn-transducer', 'speech', 'speech-recognition', 'speech-to-text']",https://github.com/theblackcat102/edgedict,https://api.github.com/users/theblackcat102,https://api.github.com/repos/theblackcat102/edgedict,"Taiwan, Taipei"
DeepAsr,Keras(Tensorflow) implementations of Automatic Speech Recognition,scionoftech,"['asr', 'deepspeech2', 'speech-recognition', 'speech-to-text']",https://github.com/scionoftech/DeepAsr,https://api.github.com/users/scionoftech,https://api.github.com/repos/scionoftech/DeepAsr,"Hyderabad, India"
DroidSpeech2.0,Android kotlin library for continuous speech recognition with localisations.,vikramezhil,[],https://github.com/vikramezhil/DroidSpeech2.0,https://api.github.com/users/vikramezhil,https://api.github.com/repos/vikramezhil/DroidSpeech2.0,"Bangalore, India"
Taris,Transformer-based online speech recognition system with TensorFlow 2,georgesterpu,"['audio-visual', 'audio-visual-speech-recognition', 'deep-learning', 'live-caption', 'mahcine-learning', 'multimodal', 'multimodal-deep-learning', 'online', 'python', 'speech-recognition', 'speech-recognizer', 'taris', 'tensorflow', 'tensorflow2', 'transformer']",https://github.com/georgesterpu/Taris,https://api.github.com/users/georgesterpu,https://api.github.com/repos/georgesterpu/Taris,Ireland
SpecAugment,SpecAugment: A Simple Data Augmentation Method for Automatic Speech Recognition,pyyush,"['automatic-speech-recognition', 'data-augmentation', 'librispeech', 'masking', 'specaugment', 'spectrogram']",https://github.com/pyyush/SpecAugment,https://api.github.com/users/pyyush,https://api.github.com/repos/pyyush/SpecAugment,United States
Hindi-ASR-Challenge,🎯 Speech Recognition Challenge by Speech Lab - IIT Madras,Syzygianinfern0,[],https://github.com/Syzygianinfern0/Hindi-ASR-Challenge,https://api.github.com/users/Syzygianinfern0,https://api.github.com/repos/Syzygianinfern0/Hindi-ASR-Challenge,"Earth, mostly."
node-red-contrib-voice2json,Node-RED nodes for local speech and intent recognition via voice2json,johanneskropf,[],https://github.com/johanneskropf/node-red-contrib-voice2json,https://api.github.com/users/johanneskropf,https://api.github.com/repos/johanneskropf/node-red-contrib-voice2json,Berlin
project_news_alan_ai,"In this video, we're going to build a Conversational Voice Controlled React News Application using Alan AI. Alan AI is a revolutionary speech recognition software that allows you to add voice capabilities to your applications. ",adrianhajdin,"['react', 'react-project', 'reactjs', 'voice-assistant', 'voice-recognition']",https://github.com/adrianhajdin/project_news_alan_ai,https://api.github.com/users/adrianhajdin,https://api.github.com/repos/adrianhajdin/project_news_alan_ai,Croatia
EmotionalConversionStarGAN,"This repository contains code to replicate results from the ICASSP 2020 paper ""StarGAN for Emotional Speech Conversion: Validated by Data Augmentation of End-to-End Emotion Recognition"".",glam-imperial,"['augsburg-university', 'data-augmentation', 'deep-learning', 'deep-neural-networks', 'emotion-recognition', 'generative-adversarial-network', 'icassp', 'icassp-2020', 'imperial-college-london', 'imperial-glam', 'speech-synthesis', 'stargan', 'stargan-vc']",https://github.com/glam-imperial/EmotionalConversionStarGAN,https://api.github.com/users/glam-imperial,https://api.github.com/repos/glam-imperial/EmotionalConversionStarGAN,"London, UK"
gujarati_speech_recognition,Offline speech recognition for Gujarati Language. ,sutariyaraj,"['asr', 'deeplearning', 'deepspeech', 'gujarati', 'speech-recognition']",https://github.com/sutariyaraj/gujarati_speech_recognition,https://api.github.com/users/sutariyaraj,https://api.github.com/repos/sutariyaraj/gujarati_speech_recognition,Germany
